Date,Open,High,Low,Close,Volume,Adj. Close
24/06/2001,10716.5,10753.27,10513.61,10604.59,1.19E+09,10604.59
23/06/2001,10716.5,10753.27,10513.61,10604.59,1.19E+09,10604.59
22/06/2001,10716.5,10753.27,10513.61,10604.59,1.19E+09,10604.59
21/06/2001,10646.39,10848.47,10512.67,10715.43,1.55E+09,10715.43
20/06/2001,10593.79,10770.88,10480.2,10647.33,1.35E+09,10647.33
19/06/2001,10654.3,10793.46,10514.74,10596.67,1.18E+09,10596.67
18/06/2001,10622.5,10781.45,10531.78,10645.38,1.11E+09,10645.38
17/06/2001,10690.13,10792.25,10495.69,10623.64,1.64E+09,10623.64
16/06/2001,10690.13,10792.25,10495.69,10623.64,1.64E+09,10623.64
15/06/2001,10690.13,10792.25,10495.69,10623.64,1.64E+09,10623.64
14/06/2001,10868.27,10874.91,10604.45,10690.13,1.24E+09,10690.13
13/06/2001,10942,11065.92,10817.21,10871.62,1.06E+09,10871.62
12/06/2001,10914.67,11009.93,10744.99,10948.38,1.14E+09,10948.38
11/06/2001,10974.79,11038.56,10819.29,10922.09,8.70E+08,10922.09
10/06/2001,11095.62,11096.46,10882.92,10977,7.26E+08,10977
9/06/2001,11095.62,11096.46,10882.92,10977,7.26E+08,10977
8/06/2001,11095.62,11096.46,10882.92,10977,7.26E+08,10977
7/06/2001,11069.58,11169.34,10940.11,11090.74,1.09E+09,11090.74
6/06/2001,11177.73,11236.68,10998.48,11070.24,1.06E+09,11070.24
5/06/2001,11061.39,11234.98,10973.1,11175.84,1.12E+09,11175.84
4/06/2001,10991.77,11125.99,10898.8,11061.52,8.36E+08,11061.52
3/06/2001,10913.57,11063.61,10793.46,10990.41,1.02E+09,10990.41
2/06/2001,10913.57,11063.61,10793.46,10990.41,1.02E+09,10990.41
1/06/2001,10913.57,11063.61,10793.46,10990.41,1.02E+09,10990.41
31/05/2001,10873.23,11023.25,10798.53,10911.94,1.23E+09,10911.94
30/05/2001,11032.96,11089.89,10819.74,10872.64,1.16E+09,10872.64
29/05/2001,11004.66,11162.96,10913.44,11039.14,1.03E+09,11039.14
28/05/2001,11122.03,11166.92,10949.01,11005.37,8.28E+08,11005.37
27/05/2001,11122.03,11166.92,10949.01,11005.37,8.28E+08,11005.37
26/05/2001,11122.03,11166.92,10949.01,11005.37,8.28E+08,11005.37
25/05/2001,11122.03,11166.92,10949.01,11005.37,8.28E+08,11005.37
24/05/2001,11107.07,11248.19,10977.2,11122.42,1.10E+09,11122.42
23/05/2001,11257.76,11308.44,11033.16,11105.51,1.13E+09,11105.51
22/05/2001,11339.8,11411.63,11162.83,11257.24,1.26E+09,11257.24
21/05/2001,11299.14,11436.42,11149.82,11337.92,1.17E+09,11337.92
20/05/2001,11245.78,11374.87,11123.01,11301.74,1.13E+09,11301.74
19/05/2001,11245.78,11374.87,11123.01,11301.74,1.13E+09,11301.74
18/05/2001,11245.78,11374.87,11123.01,11301.74,1.13E+09,11301.74
17/05/2001,11218.65,11413.46,11104.34,11248.58,1.36E+09,11248.58
16/05/2001,10864.74,11258.21,10779.66,11215.92,1.41E+09,11215.92
15/05/2001,10877.46,10979.35,10752.73,10872.97,1.07E+09,10872.97
14/05/2001,10819.55,10930.09,10730.74,10877.33,8.58E+08,10877.33
13/05/2001,10908.3,10969.39,10716.16,10821.31,9.06E+08,10821.31
12/05/2001,10908.3,10969.39,10716.16,10821.31,9.06E+08,10821.31
11/05/2001,10908.3,10969.39,10716.16,10821.31,9.06E+08,10821.31
10/05/2001,10868.87,11049.39,10826.9,10910.44,1.06E+09,10910.44
9/05/2001,10875.96,10964.84,10739.78,10866.98,1.13E+09,10866.98
8/05/2001,10936.66,11001.66,10755.07,10883.51,1.01E+09,10883.51
7/05/2001,10952.35,11059.51,10822.74,10935.17,9.49E+08,10935.17
6/05/2001,10793.2,10989.95,10638.48,10951.24,1.08E+09,10951.24
