Date,Open,High,Low,Close,Volume,Adj. Close*
4-Mar-04,10593.48,10645.33,10522.59,10588.00,1265799936,10588.00
3-Mar-04,10588.59,10651.03,10506.66,10593.11,1334499968,10593.11
2-Mar-04,10678.36,10713.92,10539.40,10591.48,1476000000,10591.48
1-Mar-04,10582.25,10720.14,10568.74,10678.14,1497100032,10678.14
27-Feb-04,10581.55,10689.55,10519.03,10583.92,1540400000,10583.92
26-Feb-04,10598.14,10652.96,10493.70,10580.14,1383900032,10580.14
25-Feb-04,10566.59,10660.73,10509.40,10601.62,1360700032,10601.62
24-Feb-04,10609.55,10681.40,10479.33,10566.37,1543600000,10566.37
23-Feb-04,10619.55,10711.84,10508.89,10609.62,1380400000,10609.62
20-Feb-04,10666.29,10722.77,10559.11,10619.03,1479600000,10619.03
19-Feb-04,10674.59,10794.95,10626.44,10664.73,1562800000,10664.73
18-Feb-04,10706.68,10764.36,10623.62,10671.99,1382400000,10671.99
17-Feb-04,10628.88,10762.07,10628.88,10714.88,1396499968,10714.88
13-Feb-04,10696.22,10755.47,10578.66,10627.85,1329200000,10627.85
12-Feb-04,10735.18,10775.03,10636.44,10694.07,1464300032,10694.07
11-Feb-04,10605.48,10779.40,10561.55,10737.70,1699299968,10737.70
10-Feb-04,10578.74,10667.03,10511.18,10613.85,1403900032,10613.85
9-Feb-04,10592.00,10634.81,10433.70,10579.03,1303500032,10579.03
6-Feb-04,10494.89,10634.81,10433.70,10593.03,1477600000,10593.03
5-Feb-04,10469.33,10566.37,10399.92,10495.55,1566599936,10495.55
4-Feb-04,10503.11,10567.85,10394.81,10470.74,1634800000,10470.74
3-Feb-04,10499.48,10571.48,10414.15,10505.18,1476899968,10505.18
2-Feb-04,10487.78,10614.44,10395.55,10499.18,1599200000,10499.18
30-Jan-04,10510.22,10551.03,10385.56,10488.07,1635000064,10488.07
29-Jan-04,10467.41,10611.56,10369.92,10510.29,1921900032,10510.29
28-Jan-04,10610.07,10703.25,10412.44,10468.37,1842000000,10468.37
27-Jan-04,10701.10,10748.81,10579.33,10609.92,1673100032,10609.92
26-Jan-04,10568.00,10725.18,10510.44,10702.51,1480600064,10702.51
23-Jan-04,10625.25,10691.77,10490.14,10568.29,1561200000,10568.29
22-Jan-04,10624.22,10717.40,10545.03,10623.18,1693699968,10623.18
21-Jan-04,10522.77,10665.70,10453.11,10623.62,1757600000,10623.62
20-Jan-04,10601.40,10676.96,10447.92,10528.66,1698200064,10528.66
16-Jan-04,10556.37,10666.88,10503.70,10600.51,1721100032,10600.51
15-Jan-04,10534.52,10639.03,10454.52,10553.85,1695000064,10553.85
14-Jan-04,10428.67,10573.85,10426.89,10538.37,1514599936,10538.37
13-Jan-04,10485.18,10539.25,10341.19,10427.18,1595900032,10427.18
12-Jan-04,10461.55,10543.03,10389.85,10485.18,1510200064,10485.18
9-Jan-04,10589.25,10603.48,10420.52,10458.89,1720700032,10458.89
8-Jan-04,10530.07,10651.99,10480.59,10592.44,1868400000,10592.44
7-Jan-04,10535.46,10587.55,10432.00,10529.03,1704899968,10529.03
6-Jan-04,10543.85,10584.07,10454.37,10538.66,1494499968,10538.66
5-Jan-04,10411.85,10575.92,10411.85,10544.07,1578200064,10544.07
2-Jan-04,10452.74,10554.96,10367.41,10409.85,1153200000,10409.85
31-Dec-03,10426.30,10494.44,10382.89,10453.92,1027500032,10453.92
30-Dec-03,10449.70,10493.11,10374.52,10425.04,1012600000,10425.04
29-Dec-03,10321.35,10457.78,10319.70,10450.00,1058800000,10450.00
26-Dec-03,10305.85,10368.89,10282.22,10324.67,356070016,10324.67
24-Dec-03,10341.41,10365.63,10263.04,10305.19,518060000,10305.19
23-Dec-03,10337.56,10421.48,10265.71,10341.26,1145299968,10341.26
22-Dec-03,10276.48,10371.11,10216.08,10338.00,1251699968,10338.00
19-Dec-03,10249.48,10345.44,10189.63,10278.22,1657299968,10278.22
18-Dec-03,10141.41,10278.82,10117.78,10248.08,1579900032,10248.08
17-Dec-03,10128.75,10186.67,10040.08,10145.26,1441699968,10145.26
16-Dec-03,10023.34,10173.19,9986.23,10129.56,1547900032,10129.56
15-Dec-03,10046.53,10180.97,9994.38,10022.82,1520800000,10022.82
12-Dec-03,10008.75,10091.71,9946.60,10042.16,1223100032,10042.16
11-Dec-03,9922.45,10056.97,9896.16,10008.16,1441100032,10008.16
10-Dec-03,9922.38,10000.53,9848.97,9921.86,1444000000,9921.86
9-Dec-03,9966.45,10048.75,9887.57,9923.42,1465500032,9923.42
8-Dec-03,9862.01,9997.34,9824.83,9965.27,1218899968,9965.27
5-Dec-03,9923.27,9954.16,9819.05,9862.68,1265900032,9862.68
4-Dec-03,9874.83,9978.08,9814.97,9930.82,1463100032,9930.82
3-Dec-03,9851.94,9974.45,9824.31,9873.42,1441699968,9873.42
2-Dec-03,9899.64,9936.97,9798.83,9853.64,1383200000,9853.64
1-Dec-03,9785.35,9943.34,9777.64,9899.05,1375000064,9899.05
28-Nov-03,9779.72,9832.16,9733.20,9782.46,487220000,9782.46
26-Nov-03,9763.49,9838.01,9689.05,9779.57,1097699968,9779.57
25-Nov-03,9748.68,9821.94,9679.13,9763.94,1333699968,9763.94
24-Nov-03,9629.87,9788.60,9629.87,9747.79,1302800000,9747.79
21-Nov-03,9622.02,9692.53,9556.68,9628.53,1273799936,9628.53
20-Nov-03,9688.46,9756.09,9576.91,9619.42,1326700032,9619.42
19-Nov-03,9620.68,9731.94,9584.31,9690.46,1326200064,9690.46
18-Nov-03,9711.44,9792.16,9601.35,9624.16,1354300032,9624.16
17-Nov-03,9765.64,9775.35,9603.57,9710.83,1374300032,9710.83
14-Nov-03,9836.46,9919.19,9709.13,9768.68,1356099968,9768.68
13-Nov-03,9846.97,9895.71,9740.53,9837.94,1383000064,9837.94
12-Nov-03,9729.50,9882.60,9700.02,9848.83,1349299968,9848.83
11-Nov-03,9756.53,9801.21,9673.64,9737.79,1162499968,9737.79
10-Nov-03,9807.49,9861.05,9702.46,9756.53,1243600000,9756.53
7-Nov-03,9857.12,9945.71,9770.31,9809.79,1440499968,9809.79
6-Nov-03,9820.68,9888.90,9738.53,9856.97,1453900032,9856.97
5-Nov-03,9837.64,9883.86,9746.98,9820.83,1401799936,9820.83
4-Nov-03,9857.49,9905.94,9770.46,9838.83,1417600000,9838.83
3-Nov-03,9802.46,9936.31,9792.60,9858.46,1378200064,9858.46
31-Oct-03,9786.75,9880.08,9745.94,9801.12,1498899968,9801.12
30-Oct-03,9772.01,9882.97,9719.20,9786.61,1629699968,9786.61
29-Oct-03,9747.05,9830.23,9663.27,9774.53,1562599936,9774.53
28-Oct-03,9609.72,9769.57,9592.54,9748.31,1629200000,9748.31
27-Oct-03,9584.54,9696.98,9553.80,9608.16,1371800064,9608.16
24-Oct-03,9600.98,9631.50,9463.28,9582.46,1420300032,9582.46
23-Oct-03,9597.20,9661.05,9517.50,9613.13,1604300032,9613.13
22-Oct-03,9741.98,9741.98,9551.65,9598.24,1647200000,9598.24
